316,39,0.0,0.0,0,0,0,0,0,0,0,0,0
74,57,501.111099537,0.0,0,0,15,0,12,12,34,116,0
277,66,0.0,0.0,0,0,0,0,0,0,0,0,0
172,69,6.5184375,0.0,36,0,1,0,4,4,54,76,0
490,81,162.063252315,101.60650463,140,2,14,0,11,11,1121,1733,0
179,65,582.776585648,340.819328704,63,1,24,0,21,21,234,814,1
1104,51,0.0,0.0,0,0,0,0,0,0,0,0,0
429,90,153.249560185,0.0,0,0,34,0,15,15,1153,7055,0
268,64,366.525625,0.0,57,0,5,0,20,20,189,331,0
317,41,348.920428241,0.0,2,0,0,0,1,1,6,6,1
301,107,52.3087731481,0.0,93,0,2,0,18,18,1738,2634,1
214,36,0.0,0.0,0,0,0,0,0,0,0,0,0
513,109,0.0,0.0,0,0,0,0,0,0,0,0,0
222,26,296.491979167,0.0,45,0,17,0,25,25,108,200,0
315,40,285.121747685,113.039178241,5,2,3,0,4,4,26,48,0
38,174,91.6785532407,0.0,324,0,36,0,14,14,3877,28365,0
58,103,66.1585648148,56.0833680556,8,2,2,0,4,4,11,31,1
282,52,16.4067592593,3.43831018519,4,1,0,0,4,4,5,9,0
164,126,183.93306713,0.0,50,0,5,0,15,15,105,179,1
900,77,556.095358796,0.0,145,0,22,0,20,20,505,857,0
285,57,0.0,0.0,0,0,0,0,0,0,0,0,0
305,72,1030.38603009,0.0,348,0,17,0,32,32,1211,1907,0
459,18,0.0611458333333,0.0,1,0,0,0,1,1,1,1,0
328,42,0.0,0.0,0,0,0,0,0,0,0,0,0
371,37,354.716909722,0.0,0,0,63,0,15,15,238,602,1
910,61,294.138020833,0.0,36,0,2,0,1,1,616,1070,0
299,54,5.73219907407,0.0,3,0,0,0,2,2,17,21,0
109,63,0.0,0.0,0,0,0,0,0,0,0,0,0
323,62,386.851666667,0.0,54,0,12,0,18,18,724,1974,0
323,97,368.916053241,0.0,63,0,7,0,16,16,1577,4403,0
253,53,391.944918981,0.0,104,0,1,0,18,18,551,773,0
2158,127,104.824039352,0.0,3,0,2,0,2,2,19,23,1
124,123,32.0163541667,0.0,5,0,6,0,5,5,26,92,0
71,114,62.1052199074,0.0,1,0,0,0,2,2,2,6,0
246,91,45.3403819444,0.0,83,0,34,0,42,42,1811,2819,0
966,65,228.57505787,68.1360069444,73,4,30,0,19,19,1049,2487,0
158,53,0.0,0.0,0,0,0,0,0,0,0,0,0
247,32,0.0,0.0,0,0,0,0,0,0,0,0,0
822,165,0.0,0.0,0,0,0,0,0,0,0,0,0
234,21,93.9368981481,93.9368981481,112,2,9,0,15,15,941,1623,0
334,54,0.983599537037,0.983599537037,1,1,1,1,1,1,3,3,0
0,219,249.293229167,66.9939467593,580,1,69,0,63,63,3843,6429,1
139,76,263.722638889,0.0,96,0,9,0,29,29,702,988,0
66,127,14.8762037037,0.0,4,0,0,0,1,1,14,24,0
75,121,385.946493056,33.6879166667,427,1,42,0,38,38,6932,14526,0
157,82,258.018923611,106.83255787,248,16,4,1,29,29,879,1219,1
379,52,98.351412037,0.0,34,0,0,0,9,9,432,670,1
827,63,0.0,0.0,0,0,0,0,0,0,0,0,0
